EmpID,FirstName,LastName,StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
3455,Charity,Miranda,29-Jun-21,05-Jul-22,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,Exceeds,4,12-08-2022,2,1,1,17-Mar-23,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41
3456,Axel,Howe,06-Mar-23,,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,25-09-1946,KY,Technician,Female,Fully Meets,3,30-03-2023,4,3,4,08-Jun-23,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82
3457,Milton,Wall,25-Sep-20,,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,23-08-1947,KY,Technician,Female,Needs Improvement,3,21-04-2023,5,1,4,15-Apr-23,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,12-08-1996,TX,Laborer,Female,Needs Improvement,3,14-02-2023,2,5,5,02-Dec-22,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,09-02-1944,TX,Splicer,Male,Exceeds,2,26-10-2022,4,4,3,14-Jun-23,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32
3460,Alisa,James,19-Feb-20,,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,10-02-1944,TX,Lineman,Male,Fully Meets,3,16-11-2022,4,3,3,08-Jul-23,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52
3461,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,29-12-1997,CO,Foreman,Male,Needs Improvement,1,24-04-2023,1,4,4,05-Jan-23,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,09-08-1942,CO,Coordinator,Male,Needs Improvement,3,08-11-2022,3,3,1,19-Jul-23,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,Fully Meets,1,18-09-2022,4,3,4,29-Aug-22,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19
3464,James,Duke,03-Dec-18,09-Sep-22,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,Needs Improvement,5,29-12-2022,2,5,3,13-Nov-22,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47
3465,Willow,Stuart,08-Nov-21,,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,07-01-1962,MA,Flagger,Male,Needs Improvement,3,19-05-2023,5,4,3,04-Jun-23,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,26-01-1979,KY,Supervisor,Male,Exceeds,4,04-08-2023,1,3,4,07-Dec-22,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66
3467,Celia,Curtis,06-May-20,,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,14-05-1987,KY,Engineer,Female,Exceeds,1,27-06-2023,4,3,2,24-Feb-23,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7
3468,Valentin,Reilly,09-Sep-19,,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,Fully Meets,4,05-02-2023,3,1,3,10-May-23,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63
3469,Ryland,Shepherd,29-Jul-20,05-Jan-23,Area Sales Manager,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,21-02-1945,TX,Driver,Female,Needs Improvement,3,01-08-2023,5,5,1,15-Aug-22,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,Needs Improvement,3,06-05-2023,1,2,3,26-Sep-22,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,03-01-1967,TX,Foreman,Male,Fully Meets,4,30-04-2023,2,4,1,23-Mar-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98
3472,Nevaeh,Soto,15-Jan-23,,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12-01-1982,TX,Director,Male,Exceeds,4,26-07-2023,5,5,4,12-Feb-23,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),01-10-1950,CO,Manager,Male,Exceeds,2,28-06-2023,3,4,4,06-Dec-22,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99
3474,Arely,Patton,09-Mar-20,,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,16-12-1965,CO,Laborer,Male,Fully Meets,2,09-05-2023,3,1,2,01-Sep-22,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,25-12-1957,IN,Foreman,Male,Fully Meets,2,25-01-2023,4,3,4,02-Nov-22,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76
3476,Charlie,Koch,12-Jun-23,06-Jul-23,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,20-06-1945,MA,Engineer,Male,Needs Improvement,2,03-03-2023,5,5,3,18-Nov-22,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5
3477,Sonny,Horne,07-Apr-19,,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,03-12-1969,KY,Laborer,Female,Needs Improvement,2,05-12-2022,1,2,1,07-Nov-22,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48
3478,Thomas,Chandler,17-Sep-18,09-Jan-19,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10-10-1957,KY,Groundman,Female,Fully Meets,2,29-11-2022,3,4,1,05-Oct-22,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74
3479,Sarai,Stone,02-Aug-22,02-Apr-23,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,Fully Meets,2,03-11-2022,4,4,4,18-Jan-23,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45
3480,Jerimiah,Harmon,08-Sep-22,16-Oct-22,Area Sales Manager,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,09-08-1946,TX,Supervisor,Female,Fully Meets,1,25-07-2023,1,5,3,02-Mar-23,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15
3481,Leland,Allen,07-Mar-19,31-May-21,Area Sales Manager,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,11-12-1965,TX,Splicer,Male,Fully Meets,4,02-03-2023,5,2,4,29-May-23,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95
3482,Cristal,Bolton,29-Oct-19,07-Feb-21,Area Sales Manager,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,11-02-1990,TX,Lineman,Male,Needs Improvement,2,22-10-2022,4,5,5,03-Mar-23,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11
3483,Jaslene,Harding,26-Sep-21,,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,Fully Meets,1,23-10-2022,1,4,5,10-Aug-22,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96
3484,Albert,Gonzalez,29-Aug-18,,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,18-07-1995,CO,Model Assistant,Male,Fully Meets,4,16-09-2022,1,2,4,27-Jun-23,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7
3485,Jaiden,Johnson,26-Oct-21,,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,22-08-1994,CO,Laborer,Male,Fully Meets,5,07-05-2023,2,1,3,07-Aug-22,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45
3486,Brendon,Mcconnell,31-Oct-22,08-Jun-23,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,14-11-1990,IN,Engineer,Male,Fully Meets,4,27-08-2022,3,1,1,23-Jul-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59
3487,Kimora,Parsons,15-Mar-23,,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,01-02-1994,KY,Administrator,Female,Fully Meets,4,23-09-2022,5,4,1,17-Jul-23,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97
3488,Willie,Patterson,09-Sep-22,,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,12-11-1997,KY,Lineman,Female,Fully Meets,2,11-03-2023,1,5,1,20-Sep-22,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19
3489,Devyn,Powers,04-Mar-22,,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,02-05-1953,TX,Laborer,Female,Fully Meets,2,03-12-2022,2,4,5,02-Jul-23,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,10-07-1991,TX,Director,Female,Fully Meets,2,12-10-2022,5,3,2,19-Jul-23,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59
3491,Lennon,Buchanan,26-Jan-21,,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,02-06-1973,TX,Driver,Male,Fully Meets,5,10-09-2022,3,4,5,14-Jul-23,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56
3492,Vicente,Merritt,26-Nov-19,,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,08-01-1993,CO,Clerk,Male,Fully Meets,1,13-01-2023,1,5,5,06-Sep-22,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66
3493,Hugo,Clay,15-Jul-19,,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,17-04-1984,CO,Project Manager,Male,Fully Meets,5,02-04-2023,3,1,5,19-Feb-23,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95
3494,Cohen,Raymond,18-Jun-20,,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,08-02-1994,CO,Technician,Male,Fully Meets,4,15-12-2022,1,2,1,11-Feb-23,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45
3495,Tia,Ellis,22-Jun-23,22-Jul-23,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,27-01-1993,IN,Laborer,Male,Fully Meets,4,08-09-2022,4,3,5,21-Dec-22,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55
3496,Aspen,Bentley,02-Dec-21,,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,19-09-1964,CA,Administrator,Male,Fully Meets,5,26-12-2022,1,3,2,16-Feb-23,Project Management,Internal,Incomplete,Port Ashleybury,Monica Keller,1,806.87
3497,Graham,Rodriguez,08-Dec-21,,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,18-02-1981,OR,Lineman,Female,Fully Meets,1,18-09-2022,2,3,4,11-Mar-23,Communication Skills,Internal,Completed,Kelseyborough,Sydney Johnson,2,184.21
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,17-10-1998,KY,Laborer,Female,Fully Meets,2,19-06-2023,3,3,4,30-May-23,Project Management,External,Failed,Yorkport,Amy Clark,1,208.43
3499,Maci,Frost,25-Sep-18,20-Dec-21,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,16-01-1971,KY,Technician,Female,Fully Meets,5,21-07-2023,5,3,5,30-Jan-23,Technical Skills,Internal,Incomplete,East Bradley,Angela Lee,2,762.45
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),25-02-2000,TX,Mechanic,Female,Fully Meets,1,14-05-2023,4,1,4,15-Jun-23,Leadership Development,External,Incomplete,Smithchester,Larry Morales,4,779.79
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Area Sales Manager,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,19-04-1959,TX,Technician,Male,Fully Meets,4,20-02-2023,2,3,4,09-Jun-23,Project Management,External,Passed,South Kaylachester,Troy Adams,3,135.95
3502,Eugene,Marks,01-Oct-19,,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Splicing,29-06-1976,TX,Electrician,Male,Fully Meets,1,24-04-2023,5,3,5,03-Jan-23,Customer Service,External,Incomplete,East Karlton,Bryan Kennedy PhD,3,427.12
3503,Geovanni,Pugh,20-Jan-22,,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management - Con,27-07-1951,CO,Manager,Male,Fully Meets,4,28-01-2023,5,2,3,20-Feb-23,Technical Skills,Internal,Completed,East Brandonview,Lisa Shelton,4,996.35
3504,Javon,Kelley,10-Oct-21,,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Con,23-08-1980,CO,Laborer,Male,Fully Meets,2,20-04-2023,3,4,3,02-Jun-23,Communication Skills,Internal,Completed,Brittneyside,Linda Pena,5,963.23
3505,Amaya,Hicks,29-Aug-20,,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,24-07-1943,IN,Groundman,Male,Fully Meets,1,10-11-2022,4,3,2,13-Sep-22,Leadership Development,Internal,Failed,West Jamesburgh,Sophia Roberts,5,260.97
3506,Laila,Woodard,27-Aug-19,10-May-23,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Operations,06-07-1988,IN,Technician,Male,Fully Meets,2,27-06-2023,2,2,3,21-May-23,Leadership Development,Internal,Completed,Deleonport,Jonathan Peterson,1,781.81
3507,Ivan,Huff,25-Feb-21,07-Apr-23,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management - Con,24-03-1973,CA,Manager,Male,Fully Meets,4,31-03-2023,2,5,2,25-May-23,Project Management,Internal,Passed,Loriberg,Michael Copeland,4,651.77
3508,Aidan,Harding,13-Jul-21,,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Aerial,26-05-1942,OR,Laborer,Male,Fully Meets,5,17-04-2023,1,5,4,04-Apr-23,Communication Skills,External,Completed,South Michael,Ashley Contreras,1,568.22
3509,Cruz,Boyer,14-Apr-21,,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,General - Sga,04-11-1977,KY,Project Controls,Female,Fully Meets,2,03-12-2022,4,5,2,04-Mar-23,Leadership Development,External,Completed,Diamondchester,William Smith,4,612.1
3510,Raven,Koch,10-Feb-20,,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,General - Con,17-10-1956,KY,Laborer,Female,Fully Meets,2,22-08-2022,2,4,3,27-Oct-22,Technical Skills,External,Completed,Stevensside,Donna Diaz,4,473.23
